"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Ownership","DKSlateID"
"D'Ernest Johnson","CLE","CIN","RB","$4000","4.6","-6.4","1%","15642396"
"Blake Bell","DAL","WAS","TE","$2500","1.6","-6.4","0%","15642870"
"Carlos Hyde","SEA","ARI","RB","$4000","4.4","-6.5","1%","15642318"
"Jake Butt","DEN","KC","TE","$2700","1.8","-6.6","0%","15642808"
"Kyle Juszczyk","SF","NE","RB","$4000","4.4","-6.6","1%","15642440"
"Chris Manhertz","CAR","NO","TE","$2500","1.2","-6.7","0%","15642920"
"Cethan Carter","CIN","CLE","TE","$2500","1.3","-6.7","0%","15642892"
"Collin Johnson","JAX","LAC","WR","$3000","2.3","-6.7","1%","15642604"
"MyCole Pruitt","TEN","PIT","TE","$2500","1.3","-6.7","0%","15642826"
"Marvin Hall","DET","ATL","WR","$3000","2.2","-6.8","1%","15642686"
"Nelson Agholor","LV","TB","WR","$3900","3.9","-6.8","1%","15667809"
"Virgil Green","LAC","JAX","TE","$2500","1.2","-6.8","0%","15642830"
"Olamide Zaccheaus","ATL","DET","WR","$3000","2.1","-6.9","1%","15642690"
"Luke Stocker","ATL","DET","TE","$2500","1.0","-6.9","0%","15642906"
"Freddie Swain","SEA","ARI","WR","$3000","2.1","-6.9","1%","15642626"
"Phillip Lindsay","DEN","KC","RB","$5300","6.5","-7.0","1%","15642286"
"Jamal Agnew","DET","ATL","WR","$3000","2.0","-7.0","1%","15642688"
"Malik Taylor","GB","HOU","WR","$3000","2.0","-7.0","1%","15642654"
"Equanimeous St. Brown","GB","HOU","WR","$3000","2.0","-7.0","0%","15642594"
"Jacob Hollister","SEA","ARI","TE","$2500","0.9","-7.0","0%","15642850"
"Kerryon Johnson","DET","ATL","RB","$4000","3.8","-7.1","1%","15642406"
"Donald Parham Jr.","LAC","JAX","TE","$2500","0.9","-7.1","0%","15642834"
"LeSean McCoy","TB","LV","RB","$4000","3.9","-7.1","1%","15667789"
"Devin Asiasi","NE","SF","TE","$2500","0.7","-7.2","0%","15642936"
"Jeremy Sprinkle","WAS","DAL","TE","$2500","0.8","-7.2","0%","15642864"
"Devine Ozigbo","JAX","LAC","RB","$4000","3.7","-7.3","1%","15642338"
"Reggie Gilliam","BUF","NYJ","TE","$2500","0.6","-7.4","0%","15642918"
"Stephen Carlson","CLE","CIN","TE","$2500","0.6","-7.4","0%","15642890"
"Noah Brown","DAL","WAS","WR","$3000","1.5","-7.4","1%","15642648"
"DaeSean Hamilton","DEN","KC","WR","$3000","1.6","-7.4","1%","15642618"
"Ricky Seals-Jones","KC","DEN","TE","$2500","0.6","-7.4","0%","15642840"
"Trevon Wesco","NYJ","BUF","TE","$2500","0.6","-7.4","0%","15642910"
"Ross Dwelley","SF","NE","TE","$2500","0.6","-7.4","0%","15642928"
"Tyler Johnson","TB","LV","WR","$3500","2.6","-7.4","1%","15667813"
"Jordan Thomas","ARI","SEA","TE","$2500","0.3","-7.6","0%","15642858"
"Josh Malone","NYJ","BUF","WR","$3000","1.3","-7.6","0%","15642704"
"Phillip Dorsett II","SEA","ARI","WR","$3000","1.4","-7.6","0%","15642630"
"Ito Smith","ATL","DET","RB","$4000","3.2","-7.7","1%","15642414"
"Deon Yelder","KC","DEN","TE","$2500","0.3","-7.7","0%","15642838"
"Nick Keizer","KC","DEN","TE","$2500","0.3","-7.7","0%","15642836"
"Devontae Booker","LV","TB","RB","$4000","3.3","-7.7","1%","15667797"
"Derek Carrier","LV","TB","TE","$2500","0.3","-7.7","0%","15667849"
"Taysom Hill","NO","CAR","QB","$4100","5.2","-7.7","1%","15642225"
"Jeremy McNichols","TEN","PIT","RB","$4000","3.3","-7.7","1%","15642328"
"Trent Taylor","SF","NE","WR","$3000","1.2","-7.8","0%","15642728"
"Trent Sherfield","ARI","SEA","WR","$3000","1.1","-7.9","0%","15642636"
"Seth Roberts","CAR","NO","WR","$3000","1.1","-7.9","0%","15642712"
"Benny Snell Jr.","PIT","TEN","RB","$4000","3.0","-7.9","1%","15642320"
"Darrius Shepherd","GB","HOU","WR","$3000","0.9","-8.0","1%","15642656"
"Temarrick Hemingway","WAS","DAL","TE","$2500","0.0","-8.0","0%","15642866"
"Christian Blake","ATL","DET","WR","$3000","0.9","-8.1","0%","15642692"
"Le'Veon Bell","KC","DEN","RB","$4400","3.6","-8.1","1%","15656866"
"K.J. Hill","LAC","JAX","WR","$3000","0.8","-8.2","0%","15642610"
"Alex Erickson","CIN","CLE","WR","$3000","0.6","-8.3","0%","15642680"
"Trayveon Williams","CIN","CLE","RB","$4000","2.6","-8.4","1%","15642404"
"John Ross III","CIN","CLE","WR","$3000","0.6","-8.4","0%","15642682"
"Anthony McFarland Jr.","PIT","TEN","RB","$4000","2.6","-8.4","1%","15642322"
"Peyton Barber","WAS","DAL","RB","$4000","2.6","-8.4","1%","15642372"
"Trenton Cannon","CAR","NO","RB","$4000","2.4","-8.5","1%","15642426"
"Donovan Peoples-Jones","CLE","CIN","WR","$3000","0.5","-8.5","0%","15642668"
"Isaiah Zuber","NE","SF","WR","$3000","0.5","-8.5","0%","15642748"
"Tyron Johnson","LAC","JAX","WR","$3000","0.3","-8.6","0%","15642612"
"Antonio Gandy-Golden","WAS","DAL","WR","$3000","0.4","-8.6","0%","15642640"
"Tony Pollard","DAL","WAS","RB","$5600","5.4","-8.7","1%","15642278"
"Darrel Williams","KC","DEN","RB","$4000","2.1","-8.8","1%","15642346"
"Ray-Ray McCloud III","PIT","TEN","WR","$3000","0.2","-8.8","0%","15642596"
"Travis Homer","SEA","ARI","RB","$4000","2.1","-8.8","1%","15642360"
"Samaje Perine","CIN","CLE","RB","$4000","1.6","-9.4","1%","15642402"
"Royce Freeman","DEN","KC","RB","$4000","1.6","-9.4","1%","15642354"
"Ty Johnson","NYJ","BUF","RB","$4000","1.5","-9.4","1%","15642420"
"Dontrell Hilliard","CLE","CIN","RB","$4000","1.1","-9.9","1%","15642398"
"Andy Janovich","CLE","CIN","RB","$4000","1.1","-9.9","0%","15642400"
"Alec Ingold","LV","TB","RB","$4000","1.0","-9.9","1%","15667799"
"Alex Armah","CAR","NO","RB","$4000","0.8","-10.1","0%","15642428"
"Keith Smith","ATL","DET","RB","$4000","0.7","-10.2","0%","15642418"
"Dare Ogunbowale","JAX","LAC","RB","$4000","0.5","-10.4","0%","15642336"
"Jaylen Samuels","PIT","TEN","RB","$4000","0.5","-10.4","0%","15642324"
"Michael Burton","NO","CAR","RB","$4000","0.4","-10.5","0%","15642434"
"Emmanuel Sanders","NO","CAR","WR","$5100","0.2","-12.9","1%","15642502"
"Jamison Crowder","NYJ","BUF","WR","$5900","0.0","-14.7","3%","15642484"
